Case_Number,Vehicle No.,Body Type,Speed Exceed,Driver Safety,Pedestrian Crash,Hit/Run
10356,1,"4-door sedan, hardtop",No,Improper Lane Usage,Animal in road,No
10359,1,Light Pickup,"Yes, Exceeded Speed Limit","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10360,1,Light Pickup,No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
10363,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Overcorrecting,Off the edge of the road on the left side,No
10364,1,"4-door sedan, hardtop",No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
10364,2,"4-door sedan, hardtop",No,Driver has not complied with Learner`s Permit or Intermediate Driver License Restrictions (GDL Restrictions),Traveling in opposite direction,No
10365,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions",Driver Has a Driving Record or Driver`s License From More Than One State,Traveling Too Fast for Conditions or Road Configuration,No
10366,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10367,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Turning Left,No
10370,1,"2-door sedan,hardtop,coupe","Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Traveling Too Fast for Conditions or Road Configuration,No
10372,1,Light Pickup,"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Traveling Too Fast for Conditions or Road Configuration,No
10374,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
10375,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10376,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,From adjacent lane (same direction) over right lane line,No
10377,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10378,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10379,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10381,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10382,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10383,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,Yes
10383,3,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10385,1,Light Pickup,"Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10386,1,Light Pickup,"Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Traveling Too Fast for Conditions or Road Configuration,No
10387,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10388,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Improper Lane Usage,Off the edge of the road on the left side,No
10389,1,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10390,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10390,3,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10391,1,"Convertible(excludes sun-roof,t-bar)","Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10392,1,"2-door sedan,hardtop,coupe",No,Overcorrecting,Off the edge of the road on the right side,No
10394,1,Recreational Off-Highway Vehicle,No,Aggressive Driving / Road Rage,Other cause of control loss (specify:),No
10395,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Turning Left,No
10398,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Object approaching road,No
10399,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10402,1,Light Pickup,No,Overcorrecting,Off the edge of the road on the right side,No
10405,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over right lane line,No
10406,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10410,1,"2-door sedan,hardtop,coupe",No,Overcorrecting,Off the edge of the road on the right side,No
10410,2,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Overcorrecting,From opposite direction  over left lane line,No
10411,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10412,1,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10413,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the left side,No
10416,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the right side,No
10421,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10423,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,From adjacent lane (same direction) over right lane line,No
10424,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10426,1,Light Pickup,"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
10427,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10430,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Improper Lane Usage,Off the edge of the road on the left side,No
10430,2,"4-door sedan, hardtop",No,Mother of Dead Fetus/ Mother of Infant Born Post Crash,From opposite direction  over left lane line,No
10431,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10434,1,Two Wheel Motorcycle (excluding motor scooters),No,Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
10439,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
10440,1,"4-door sedan, hardtop",No,Following Improperly,Traveling in same direction with lower steady speed,No
10444,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
10445,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10448,2,"4-door sedan, hardtop",No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
10451,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10453,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Overcorrecting,Off the edge of the road on the right side,No
10454,1,Light Pickup,"Yes, Too Fast for Conditions",Improper Lane Usage,Unknown cause of control loss,No
10456,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10457,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10458,1,Three-wheel Motorcycle (2 Rear Wheels),"Yes, Too Fast for Conditions",Improper Lane Usage,Off the edge of the road on the left side,No
10459,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10459,2,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10462,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
10463,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10464,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
10467,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Driver Has a Driving Record or Driver`s License From More Than One State,Over the lane line on left side of travel lane,No
10468,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10470,1,"2-door sedan,hardtop,coupe",No,Improper Lane Usage,"Suddenly Encountered Poor Road Conditions [Puddle, Pot Hole, Ice, Etc.][Specify:]",No
10470,2,Station Wagon (excluding van and truck based),No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10470,3,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10472,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Over the lane line on left side of travel lane,No
10473,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10473,2,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10474,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10477,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10478,1,ATV/ATC [All-Terrain Cycle],No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10479,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",End departure,No
10480,1,Light Pickup,"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Other vehicle stopped,No
10482,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Driver Has a Driving Record or Driver`s License From More Than One State,Other vehicle stopped,No
10483,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedalcyclist or other non-motorist in road,No
10484,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10486,1,School Bus,No,Failure to Yield Right-of-Way,Turning Left,No
10487,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,From adjacent lane (same direction) over left lane line,No
10487,2,"4-door sedan, hardtop",No,Making Other Improper Turn,Making a U-Turn,No
10489,1,Light Pickup,No,Police Pursuing this Driver or Police Officer in Pursuit,Off the edge of the road on the right side,No
10489,2,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10490,1,"2-door sedan,hardtop,coupe","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the left side,No
10491,1,Light Pickup,"Yes, Exceeded Speed Limit",Unfamiliar with Roadway,Off the edge of the road on the right side,No
10493,1,Station Wagon (excluding van and truck based),No,Driver Has a Driving Record or Driver`s License From More Than One State,Turning Left,No
10493,2,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Driver Has a Driving Record or Driver`s License From More Than One State,"From crossing street, turning into opposite direction",No
10494,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
